store_id,메뉴명,가격
1,햄스페셜 토스트 세트,"7,700원"
1,딥치즈 베이컨 포테이토 세트,"9,200원"
1,소이 크런치 치킨,"5,800원"
1,햄치즈 토스트,"3,900원"
1,햄스페셜 토스트,"4,500원"
1,계란후라이 햄치즈 세트,"7,900원"
1,계란후라이 스페셜 세트,"8,100원"
1,계란후라이 딥치즈 세트,"8,100원"
1,비프 라구 토스트 세트,"8,800원"
1,감자 비프 라구 세트,"8,800원"
1,소이 크런치 치킨 세트,"9,000원"
1,프렌치 햄치즈 세트,"7,700원"
1,스크램블 햄치즈 세트,"7,800원"
1,스크램블 베이컨 세트,"8,700원"
1,리얼 양념치킨 세트,"8,900원"
1,감자 스페셜 세트,"8,700원"
1,프렌치 에그마요 세트,"7,800원"
1,콘베이컨 에그마요 세트,"8,200원"
1,포테이토 에그마요 세트,"8,600원"
1,치킨 스페셜 세트,"8,800원"
1,그릴드 불갈비 세트,"8,900원"
1,햄치즈 토스트 세트,"7,100원"
1,햄스페셜 토스트 세트,"7,700원"
1,베이컨 베스트 세트,"8,200원"
1,베이컨 포테이토 피자 세트,"9,300원"
1,딥치즈 베이컨 세트,"8,500원"
1,딥치즈 베이컨 포테이토 세트,"9,200원"
1,햄치즈 포테이토 세트,"8,300원"
1,계란후라이 햄치즈,"4,700원"
1,계란후라이 스페셜,"4,900원"
1,계란후라이 딥치즈,"4,900원"
1,프렌치 에그마요,"4,600원"
1,콘베이컨 에그마요,"5,000원"
1,포테이토 에그마요,"5,400원"
1,감자 스페셜,"5,500원"
1,비프 라구 토스트,"5,600원"
1,감자 비프 라구,"5,600원"
1,소이 크런치 치킨,"5,800원"
1,프렌치 햄치즈,"4,500원"
1,스크램블 햄치즈,"4,600원"
1,스크램블 베이컨,"5,500원"
1,리얼 양념치킨,"5,700원"
1,치킨 스페셜,"5,600원"
1,햄치즈 토스트,"3,900원"
1,햄스페셜 토스트,"4,500원"
1,베이컨 베스트,"5,000원"
1,베이컨 포테이토 피자,"6,100원"
1,딥치즈 베이컨,"5,300원"
1,딥치즈 베이컨 포테이토,"6,000원"
1,햄치즈 포테이토,"5,100원"
1,그릴드 불갈비,"5,700원"
1,포테이토 팝,"2,400원"
1,치즈 팝,"3,100원"
1,라구 포테이토 팝,"3,100원"
1,어니언 포테이토 팝,"3,100원"
1,포테이토 팝(시즈닝),"2,700원"
1,H.아메리카노,"3,300원"
1,I.아메리카노,"3,300원"
1,오렌지주스,"2,900원"
1,생수,"1,300원"
1,아이스티,"3,200원"
1,콜라(캔) 355ml,"2,400원"
1,제로 콜라(캔) 355ml,"2,400원"
1,사이다(캔) 355ml,"2,400원"
1,제로 사이다(캔) 355ml,"2,400원"
1,H.디카페인 아메리카노,"3,800원"
1,I.디카페인 아메리카노,"3,800원"
2,필라델피아 치즈 스테이크 L,"28,900원"
2,와일드 와일드 웨스트 스테이크 L,"33,900원"
2,베스트 콰트로 L,"36,900원"
2,블랙타이거 슈림프 L,"36,900원"
2,필라델피아 치즈 스테이크+포테이토 L,"28,400원"
2,티니핑 블랙타이거 슈림프 L 세트,"40,800원"
2,티니핑 와와웨 스테이크 L 세트,"37,800원"
2,티니핑 포테이토 L 세트,"31,800원"
2,KBO 키링 굿즈 블랙타이거 슈림프 L 세트,"45,400원"
2,KBO 키링 굿즈 와와웨 스테이크 L 세트,"42,400원"
2,KBO 키링 굿즈 포테이토 L 세트,"36,400원"
2,필라델피아 치즈 스테이크 L,"28,900원"
2,K-쌈장 채끝 스테이크 L,"33,900원"
2,K-쌈장 채끝 스테이크 M,"28,000원"
2,K-Rib&치즈 L,"33,900원"
2,K-Rib&치즈 M,"28,000원"
2,와일드 와일드 웨스트 스테이크 L,"33,900원"
2,와일드 와일드 웨스트 스테이크 M,"28,000원"
2,베스트 콰트로 L,"36,900원"
2,베스트 콰트로 M,"29,500원"
2,블랙타이거 슈림프 L,"36,900원"
2,블랙타이거 슈림프 M,"30,000원"
2,블록버스터 4 L,"36,900원"
2,블록버스터 4 M,"29,500원"
2,필라델피아 치즈 스테이크+블랙타이거 슈림프 L,"32,900원"
2,필라델피아 치즈 스테이크+포테이토 L,"28,400원"
2,K-쌈장 채끝 스테이크+블랙타이거 슈림프 L,"35,400원"
2,K-쌈장 채끝스테이크+K-Rib&치즈 L,"33,900원"
2,K-쌈장 채끝스테이크+포테이토 L,"30,900원"
